status,video_id,video_path,pose_file,stroke_type,player_id,extracted_frames
success,10_set1_rally16_ball06_Clear,data/clips/Clear/10_set1_rally16_ball06_Clear.mp4,processed/poses/10_set1_rally16_ball06_Clear_pose.pkl,clear,10,81
success,38_set1_rally08_ball03_Clear,data/clips/Clear/38_set1_rally08_ball03_Clear.mp4,processed/poses/38_set1_rally08_ball03_Clear_pose.pkl,clear,38,27
success,10_set1_rally28_ball06_Clear,data/clips/Clear/10_set1_rally28_ball06_Clear.mp4,processed/poses/10_set1_rally28_ball06_Clear_pose.pkl,clear,10,127
success,29_set2_rally26_ball20_Clear,data/clips/Clear/29_set2_rally26_ball20_Clear.mp4,processed/poses/29_set2_rally26_ball20_Clear_pose.pkl,clear,29,75
success,01_set3_rally31_ball20_Clear,data/clips/Clear/01_set3_rally31_ball20_Clear.mp4,processed/poses/01_set3_rally31_ball20_Clear_pose.pkl,clear,01,92
success,01_set1_rally13_ball20_Clear,data/clips/Clear/01_set1_rally13_ball20_Clear.mp4,processed/poses/01_set1_rally13_ball20_Clear_pose.pkl,clear,01,129
success,32_set1_rally10_ball04_Clear,data/clips/Clear/32_set1_rally10_ball04_Clear.mp4,processed/poses/32_set1_rally10_ball04_Clear_pose.pkl,clear,32,41
success,13_set1_rally11_ball27_Clear,data/clips/Clear/13_set1_rally11_ball27_Clear.mp4,processed/poses/13_set1_rally11_ball27_Clear_pose.pkl,clear,13,154
success,01_set2_rally34_ball18_Clear,data/clips/Clear/01_set2_rally34_ball18_Clear.mp4,processed/poses/01_set2_rally34_ball18_Clear_pose.pkl,clear,01,107
success,13_set1_rally10_ball13_Clear,data/clips/Clear/13_set1_rally10_ball13_Clear.mp4,processed/poses/13_set1_rally10_ball13_Clear_pose.pkl,clear,13,107
success,21_set1_rally42_ball37_Clear,data/clips/Clear/21_set1_rally42_ball37_Clear.mp4,processed/poses/21_set1_rally42_ball37_Clear_pose.pkl,clear,21,164
success,08_set1_rally05_ball04_Clear,data/clips/Clear/08_set1_rally05_ball04_Clear.mp4,processed/poses/08_set1_rally05_ball04_Clear_pose.pkl,clear,08,47
success,07_set2_rally03_ball04_Clear,data/clips/Clear/07_set2_rally03_ball04_Clear.mp4,processed/poses/07_set2_rally03_ball04_Clear_pose.pkl,clear,07,115
success,21_set1_rally17_ball05_Clear,data/clips/Clear/21_set1_rally17_ball05_Clear.mp4,processed/poses/21_set1_rally17_ball05_Clear_pose.pkl,clear,21,12
success,05_set2_rally31_ball05_Clear,data/clips/Clear/05_set2_rally31_ball05_Clear.mp4,processed/poses/05_set2_rally31_ball05_Clear_pose.pkl,clear,05,149
success,44_set2_rally08_ball03_Clear,data/clips/Clear/44_set2_rally08_ball03_Clear.mp4,processed/poses/44_set2_rally08_ball03_Clear_pose.pkl,clear,44,97
success,06_set3_rally06_ball05_Clear,data/clips/Clear/06_set3_rally06_ball05_Clear.mp4,processed/poses/06_set3_rally06_ball05_Clear_pose.pkl,clear,06,140
success,13_set2_rally27_ball62_Clear,data/clips/Clear/13_set2_rally27_ball62_Clear.mp4,processed/poses/13_set2_rally27_ball62_Clear_pose.pkl,clear,13,5
success,29_set2_rally21_ball04_Clear,data/clips/Clear/29_set2_rally21_ball04_Clear.mp4,processed/poses/29_set2_rally21_ball04_Clear_pose.pkl,clear,29,66
success,07_set2_rally10_ball18_Clear,data/clips/Clear/07_set2_rally10_ball18_Clear.mp4,processed/poses/07_set2_rally10_ball18_Clear_pose.pkl,clear,07,97
success,32_set2_rally25_ball14_Clear,data/clips/Clear/32_set2_rally25_ball14_Clear.mp4,processed/poses/32_set2_rally25_ball14_Clear_pose.pkl,clear,32,131
success,01_set2_rally10_ball06_Clear,data/clips/Clear/01_set2_rally10_ball06_Clear.mp4,processed/poses/01_set2_rally10_ball06_Clear_pose.pkl,clear,01,161
success,01_set3_rally10_ball15_Clear,data/clips/Clear/01_set3_rally10_ball15_Clear.mp4,processed/poses/01_set3_rally10_ball15_Clear_pose.pkl,clear,01,148
success,08_set1_rally25_ball05_Clear,data/clips/Clear/08_set1_rally25_ball05_Clear.mp4,processed/poses/08_set1_rally25_ball05_Clear_pose.pkl,clear,08,155
success,07_set1_rally19_ball07_Clear,data/clips/Clear/07_set1_rally19_ball07_Clear.mp4,processed/poses/07_set1_rally19_ball07_Clear_pose.pkl,clear,07,89
success,07_set1_rally05_ball09_Clear,data/clips/Clear/07_set1_rally05_ball09_Clear.mp4,processed/poses/07_set1_rally05_ball09_Clear_pose.pkl,clear,07,138
success,05_set3_rally11_ball03_Clear,data/clips/Clear/05_set3_rally11_ball03_Clear.mp4,processed/poses/05_set3_rally11_ball03_Clear_pose.pkl,clear,05,48
success,22_set2_rally09_ball08_Clear,data/clips/Clear/22_set2_rally09_ball08_Clear.mp4,processed/poses/22_set2_rally09_ball08_Clear_pose.pkl,clear,22,11
success,32_set3_rally07_ball09_Clear,data/clips/Clear/32_set3_rally07_ball09_Clear.mp4,processed/poses/32_set3_rally07_ball09_Clear_pose.pkl,clear,32,54
success,15_set3_rally16_ball07_Clear,data/clips/Clear/15_set3_rally16_ball07_Clear.mp4,processed/poses/15_set3_rally16_ball07_Clear_pose.pkl,clear,15,112
success,36_set2_rally02_ball13_Clear,data/clips/Clear/36_set2_rally02_ball13_Clear.mp4,processed/poses/36_set2_rally02_ball13_Clear_pose.pkl,clear,36,8
success,19_set1_rally16_ball15_Clear,data/clips/Clear/19_set1_rally16_ball15_Clear.mp4,processed/poses/19_set1_rally16_ball15_Clear_pose.pkl,clear,19,69
success,10_set1_rally36_ball07_Clear,data/clips/Clear/10_set1_rally36_ball07_Clear.mp4,processed/poses/10_set1_rally36_ball07_Clear_pose.pkl,clear,10,90
success,17_set1_rally26_ball13_Clear,data/clips/Clear/17_set1_rally26_ball13_Clear.mp4,processed/poses/17_set1_rally26_ball13_Clear_pose.pkl,clear,17,32
success,17_set1_rally09_ball14_Clear,data/clips/Clear/17_set1_rally09_ball14_Clear.mp4,processed/poses/17_set1_rally09_ball14_Clear_pose.pkl,clear,17,37
success,11_set2_rally11_ball06_Clear,data/clips/Clear/11_set2_rally11_ball06_Clear.mp4,processed/poses/11_set2_rally11_ball06_Clear_pose.pkl,clear,11,1
success,19_set1_rally28_ball15_Clear,data/clips/Clear/19_set1_rally28_ball15_Clear.mp4,processed/poses/19_set1_rally28_ball15_Clear_pose.pkl,clear,19,150
success,02_set2_rally30_ball02_Clear,data/clips/Clear/02_set2_rally30_ball02_Clear.mp4,processed/poses/02_set2_rally30_ball02_Clear_pose.pkl,clear,02,166
success,11_set1_rally04_ball03_Clear,data/clips/Clear/11_set1_rally04_ball03_Clear.mp4,processed/poses/11_set1_rally04_ball03_Clear_pose.pkl,clear,11,47
success,13_set1_rally27_ball05_Clear,data/clips/Clear/13_set1_rally27_ball05_Clear.mp4,processed/poses/13_set1_rally27_ball05_Clear_pose.pkl,clear,13,49
success,06_set2_rally10_ball35_Clear,data/clips/Clear/06_set2_rally10_ball35_Clear.mp4,processed/poses/06_set2_rally10_ball35_Clear_pose.pkl,clear,06,83
success,21_set2_rally15_ball03_Clear,data/clips/Clear/21_set2_rally15_ball03_Clear.mp4,processed/poses/21_set2_rally15_ball03_Clear_pose.pkl,clear,21,13
success,44_set3_rally16_ball05_Clear,data/clips/Clear/44_set3_rally16_ball05_Clear.mp4,processed/poses/44_set3_rally16_ball05_Clear_pose.pkl,clear,44,46
success,01_set3_rally07_ball02_Clear,data/clips/Clear/01_set3_rally07_ball02_Clear.mp4,processed/poses/01_set3_rally07_ball02_Clear_pose.pkl,clear,01,110
success,14_set1_rally17_ball04_Clear,data/clips/Clear/14_set1_rally17_ball04_Clear.mp4,processed/poses/14_set1_rally17_ball04_Clear_pose.pkl,clear,14,15
success,15_set2_rally36_ball15_Clear,data/clips/Clear/15_set2_rally36_ball15_Clear.mp4,processed/poses/15_set2_rally36_ball15_Clear_pose.pkl,clear,15,129
success,44_set3_rally21_ball07_Clear,data/clips/Clear/44_set3_rally21_ball07_Clear.mp4,processed/poses/44_set3_rally21_ball07_Clear_pose.pkl,clear,44,54
success,32_set3_rally23_ball17_Clear,data/clips/Clear/32_set3_rally23_ball17_Clear.mp4,processed/poses/32_set3_rally23_ball17_Clear_pose.pkl,clear,32,188
success,30_set1_rally05_ball20_Clear,data/clips/Clear/30_set1_rally05_ball20_Clear.mp4,processed/poses/30_set1_rally05_ball20_Clear_pose.pkl,clear,30,54
success,10_set1_rally12_ball19_Clear,data/clips/Clear/10_set1_rally12_ball19_Clear.mp4,processed/poses/10_set1_rally12_ball19_Clear_pose.pkl,clear,10,124
success,15_set3_rally16_ball26_Clear,data/clips/Clear/15_set3_rally16_ball26_Clear.mp4,processed/poses/15_set3_rally16_ball26_Clear_pose.pkl,clear,15,79
success,14_set3_rally01_ball08_Clear,data/clips/Clear/14_set3_rally01_ball08_Clear.mp4,processed/poses/14_set3_rally01_ball08_Clear_pose.pkl,clear,14,58
success,29_set2_rally17_ball07_Clear,data/clips/Clear/29_set2_rally17_ball07_Clear.mp4,processed/poses/29_set2_rally17_ball07_Clear_pose.pkl,clear,29,12
success,10_set1_rally28_ball12_Clear,data/clips/Clear/10_set1_rally28_ball12_Clear.mp4,processed/poses/10_set1_rally28_ball12_Clear_pose.pkl,clear,10,165
success,29_set1_rally02_ball02_Clear,data/clips/Clear/29_set1_rally02_ball02_Clear.mp4,processed/poses/29_set1_rally02_ball02_Clear_pose.pkl,clear,29,77
