clip_name,stroke_type,status
01_set1_rally2_ball3_Smash.mp4,Smash,already_exists
01_set1_rally3_ball4_Smash.mp4,Smash,already_exists
01_set1_rally3_ball18_Clear.mp4,Clear,already_exists
01_set1_rally3_ball19_Clear.mp4,Clear,already_exists
01_set1_rally3_ball23_Clear.mp4,Clear,already_exists
01_set1_rally3_ball24_Smash.mp4,Smash,already_exists
01_set1_rally5_ball5_Smash.mp4,Smash,already_exists
01_set1_rally5_ball7_Clear.mp4,Clear,already_exists
01_set1_rally5_ball8_Smash.mp4,Smash,already_exists
01_set1_rally5_ball11_Clear.mp4,Clear,already_exists
01_set1_rally9_ball8_Clear.mp4,Clear,already_exists
01_set1_rally9_ball12_Clear.mp4,Clear,already_exists
01_set1_rally9_ball18_Clear.mp4,Clear,already_exists
01_set1_rally9_ball22_Smash.mp4,Smash,already_exists
01_set1_rally11_ball8_Clear.mp4,Clear,already_exists
01_set1_rally11_ball19_Clear.mp4,Clear,already_exists
01_set1_rally11_ball20_Clear.mp4,Clear,already_exists
01_set1_rally11_ball25_Clear.mp4,Clear,already_exists
01_set1_rally11_ball26_Clear.mp4,Clear,already_exists
01_set1_rally11_ball30_Clear.mp4,Clear,already_exists
01_set1_rally11_ball31_Clear.mp4,Clear,already_exists
01_set1_rally11_ball35_Clear.mp4,Clear,already_exists
01_set1_rally11_ball36_Clear.mp4,Clear,already_exists
01_set1_rally11_ball37_Clear.mp4,Clear,already_exists
01_set1_rally11_ball38_Clear.mp4,Clear,already_exists
01_set1_rally11_ball39_Clear.mp4,Clear,already_exists
01_set1_rally11_ball40_Clear.mp4,Clear,already_exists
01_set1_rally12_ball3_Clear.mp4,Clear,already_exists
01_set1_rally12_ball15_Clear.mp4,Clear,already_exists
01_set1_rally12_ball16_Clear.mp4,Clear,already_exists
01_set1_rally12_ball20_Clear.mp4,Clear,already_exists
01_set1_rally12_ball21_Clear.mp4,Clear,already_exists
01_set1_rally12_ball22_Clear.mp4,Clear,already_exists
01_set1_rally13_ball6_Smash.mp4,Smash,already_exists
01_set1_rally13_ball9_Clear.mp4,Clear,already_exists
01_set1_rally13_ball16_Clear.mp4,Clear,already_exists
01_set1_rally13_ball19_Clear.mp4,Clear,already_exists
01_set1_rally13_ball20_Clear.mp4,Clear,already_exists
01_set1_rally13_ball21_Clear.mp4,Clear,already_exists
01_set1_rally13_ball22_Clear.mp4,Clear,already_exists
01_set1_rally13_ball33_Smash.mp4,Smash,already_exists
01_set1_rally13_ball36_Clear.mp4,Clear,already_exists
01_set1_rally13_ball37_Clear.mp4,Clear,already_exists
01_set1_rally13_ball38_Clear.mp4,Clear,already_exists
01_set1_rally13_ball39_Smash.mp4,Smash,already_exists
01_set1_rally14_ball5_Smash.mp4,Smash,already_exists
