match_id,total_clips,avg_valid_pct,min_valid_pct,max_valid_pct,avg_confidence,low_quality_count
1,331,93.76005721437511,3.92156862745098,100.0,0.6490327776832244,11
2,110,94.43850267379679,37.25490196078432,100.0,0.7479333173777852,3
4,93,99.93674889310563,94.11764705882352,100.0,0.795785174956514,0
5,179,81.03028193525931,1.96078431372549,100.0,0.7893141188913246,24
6,167,97.42499409402315,52.94117647058824,100.0,0.5613634274378789,0
7,168,92.84547152194212,17.647058823529413,100.0,0.7343089491138308,5
8,126,66.76594688508314,1.96078431372549,100.0,0.7634146731952828,23
9,110,98.6254295532646,64.70588235294117,100.0,0.6370573405507705,0
10,127,95.93378334940533,9.803921568627452,100.0,0.6530155363905724,3
11,171,27.843137254901958,1.96078431372549,100.0,0.46273264119498736,12
13,75,76.3921568627451,5.88235294117647,100.0,0.7667907480218861,9
14,54,17.401960784313726,1.96078431372549,100.0,0.49634205330635883,14
15,82,80.63422900024207,1.96078431372549,100.0,0.739249919691086,9
16,61,49.092229484386344,3.92156862745098,100.0,0.6409498015913351,15
17,113,54.34173669467787,1.96078431372549,100.0,0.5554953530637965,36
18,34,76.73202614379085,7.84313725490196,100.0,0.6634158641701653,2
19,149,87.55712811440367,1.96078431372549,100.0,0.7691586398117221,15
20,44,78.53457172342621,3.92156862745098,100.0,0.7004702735456283,4
21,154,82.60261786758164,1.639344262295082,100.0,0.5428257309435953,25
22,128,56.90866510538642,1.639344262295082,100.0,0.5237576839657072,22
23,137,42.47950819672131,1.639344262295082,100.0,0.4140683896043118,47
24,138,33.177205308352846,1.639344262295082,100.0,0.3960301335202179,29
25,60,20.98360655737705,1.639344262295082,72.1311475409836,0.5157647099308683,13
26,57,76.69789227166277,6.557377049180328,100.0,0.5024451982921697,7
28,108,71.51639344262294,1.639344262295082,100.0,0.635689443442466,22
29,165,97.89959016393443,13.114754098360656,100.0,0.5530753802615023,4
30,168,82.41722918675667,1.639344262295082,100.0,0.6987965823257352,26
31,74,59.15300546448088,3.278688524590164,100.0,0.5804496988258211,5
32,168,76.25227686703096,1.639344262295082,100.0,0.5880671911561587,31
33,40,41.712204007285976,1.639344262295082,100.0,0.5559626249300337,11
35,138,88.15341787813178,1.639344262295082,100.0,0.6593963960516432,14
36,117,82.87115060517849,1.639344262295082,100.0,0.5838213002856127,20
37,88,95.51912568306011,9.836065573770492,100.0,0.5641122748098094,3
38,221,10.450819672131146,1.639344262295082,32.78688524590164,0.5813094309966576,8
39,126,11.475409836065573,4.918032786885246,18.0327868852459,0.5774446318308328,2
40,124,31.147540983606554,1.639344262295082,57.377049180327866,0.550544684092104,3
41,184,43.44262295081967,9.836065573770492,100.0,0.6812694517385346,3
42,158,92.52459016393442,1.639344262295082,100.0,0.759187119369887,3
43,103,99.2827868852459,42.62295081967213,100.0,0.7961204277228305,1
44,133,60.597189695550355,1.639344262295082,100.0,0.8232614438043104,11
